City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ebon,4.582,168.6964,300.5,81,72,10.74,MH,04-02-2025
1,bethel,41.3712,-73.414,278.83,75,75,4.12,US,03-02-2025
2,stanley,54.868,-1.6985,281.16,77,40,7.72,GB,03-02-2025
3,whitehorse,60.7161,-135.0538,256.58,85,75,1.54,CA,03-02-2025
4,banamba,13.55,-7.45,295.21,15,93,3.38,ML,03-02-2025
5,la passe,45.5549,-0.8967,280.19,81,0,2.96,FR,03-02-2025
6,west island,-12.1568,96.8225,300.14,94,20,5.14,CC,04-02-2025
7,edinburgh of the seven seas,-37.0676,-12.3116,288.11,72,100,5.54,SH,03-02-2025
8,ghat,24.9647,10.1728,289.4,27,14,2.73,LY,03-02-2025
9,waitangi,-43.9535,-176.5597,288.61,91,26,5.81,NZ,04-02-2025
10,akureyri,65.6835,-18.0878,277.11,70,75,12.35,IS,03-02-2025
11,port-aux-francais,-49.35,70.2167,277.08,69,100,2.0,TF,03-02-2025
12,uturoa,-16.7333,-151.4333,300.61,75,18,5.18,PF,03-02-2025
13,kapa'a,22.0752,-159.319,295.64,78,20,3.09,US,03-02-2025
14,hammerfest,70.6634,23.6821,263.4,52,0,8.75,NO,03-02-2025
15,hasaki,35.7333,140.8333,280.74,70,100,3.42,JP,04-02-2025
16,belmonte,-15.8631,-38.8828,301.88,63,0,4.17,BR,03-02-2025
17,adamstown,-25.066,-130.1015,297.73,74,92,6.61,PN,03-02-2025
18,selfoss,63.9331,-20.9971,275.4,84,63,13.55,IS,03-02-2025
19,khandyga,62.6667,135.6,237.25,97,100,2.14,RU,04-02-2025
20,shiqian,27.5225,108.2281,277.4,82,12,0.81,CN,04-02-2025
21,canutama,-6.5339,-64.3831,301.37,68,100,1.53,BR,03-02-2025
22,salalah,17.0151,54.0924,296.2,16,0,4.63,OM,03-02-2025
23,iqaluit,63.7506,-68.5145,244.09,61,20,2.57,CA,03-02-2025
24,punta arenas,-53.15,-70.9167,284.21,46,40,12.86,CL,03-02-2025
25,atafu village,-8.5421,-172.5159,301.87,66,100,6.21,TK,04-02-2025
26,genhe,50.7833,121.5167,246.3,98,100,1.17,CN,04-02-2025
27,fortuna,40.5982,-124.1573,279.46,98,100,2.57,US,03-02-2025
28,port lincoln,-34.7333,135.8667,293.26,81,0,6.59,AU,04-02-2025
29,isafjordur,66.0755,-23.124,270.73,94,100,20.38,IS,03-02-2025
30,longyearbyen,78.2186,15.6401,273.06,64,20,1.03,SJ,03-02-2025
31,kuanda,56.3161,116.0806,237.67,97,98,0.35,RU,04-02-2025
32,idri,27.5,13.2667,289.41,29,0,3.44,LY,03-02-2025
33,inari,68.906,27.0288,247.27,100,83,0.91,FI,03-02-2025
34,porto novo,6.4965,2.6036,301.12,76,3,4.43,BJ,03-02-2025
35,invercargill,-46.4,168.35,285.94,79,27,0.39,NZ,04-02-2025
36,novo brdo,45.5864,16.0229,277.69,64,0,2.06,HR,03-02-2025
37,georgetown,5.4112,100.3354,299.11,73,20,0.51,MY,04-02-2025
38,ribeira grande,38.5167,-28.7,289.37,77,75,6.71,PT,03-02-2025
39,kailua-kona,19.6406,-155.9956,295.7,77,0,2.57,US,03-02-2025
40,peace river,56.2501,-117.286,240.32,75,0,2.57,CA,03-02-2025
41,tofol,5.3248,163.0078,301.01,80,10,11.3,FM,04-02-2025
42,vilyuysk,63.7553,121.6247,251.62,96,100,5.65,RU,04-02-2025
43,qaqortoq,60.7167,-46.0333,254.35,86,10,2.26,GL,03-02-2025
44,wailua homesteads,22.0669,-159.378,294.89,78,20,3.09,US,03-02-2025
45,albany,42.6001,-73.9662,275.88,78,100,1.34,US,03-02-2025
46,iskateley,67.6803,53.1512,244.95,93,9,3.83,RU,03-02-2025
47,port elizabeth,-33.918,25.5701,294.99,88,0,1.79,ZA,03-02-2025
48,caconda,-13.7333,15.0667,289.84,97,100,1.42,AO,03-02-2025
49,yellowknife,62.456,-114.3525,245.68,76,40,3.09,CA,03-02-2025
50,cabo san lucas,22.8909,-109.9124,296.8,34,37,2.68,MX,03-02-2025
51,abadan,30.3392,48.3043,285.12,47,0,1.03,IR,03-02-2025
52,novo aripuana,-5.1206,-60.3797,301.28,81,99,0.88,BR,03-02-2025
53,floro,61.5996,5.0328,278.13,87,75,7.72,NO,03-02-2025
54,nelidovo,56.2211,32.7774,269.56,85,74,2.25,RU,03-02-2025
55,greenville,35.6127,-77.3663,289.9,72,0,1.54,US,03-02-2025
56,bredasdorp,-34.5322,20.0403,292.45,68,0,1.57,ZA,03-02-2025
57,thompson,55.7435,-97.8558,250.24,70,75,3.09,CA,03-02-2025
58,puerto ayora,-0.7393,-90.3518,300.12,91,77,2.68,EC,03-02-2025
59,st. john's,47.5649,-52.7093,270.53,81,100,0.89,CA,03-02-2025
60,chinde,26.8212,87.7095,287.62,64,0,3.1,NP,04-02-2025
61,grytviken,-54.2811,-36.5092,277.98,94,100,1.13,GS,03-02-2025
62,hermanus,-34.4187,19.2345,292.48,76,0,1.42,ZA,03-02-2025
